City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,rio grande,-32.035,-52.0986,29.06,80,20,7.56,BR,1704574929
370,flying fish cove,-10.4217,105.6791,24.82,94,75,0.51,CX,1704575106
371,tallkayf,36.4894,43.1192,10.29,74,0,1.85,IQ,1704575106
372,pontes e lacerda,-15.2261,-59.3353,29.5,77,19,0.83,BR,1704575037
373,howrah,22.5892,88.3103,17.0,82,4,0.0,IN,1704575107
374,harper,4.375,-7.7169,27.25,85,0,4.38,LR,1704575107
375,gamba,-2.65,10.0,25.8,79,96,2.26,GA,1704575108
376,ust-nera,64.5667,143.2,-38.54,99,100,1.58,RU,1704575109
377,manay,7.215,126.5397,25.25,84,87,3.51,PH,1704575110
378,seminole,28.7086,-81.2081,27.37,75,20,6.17,US,1704575073
379,smithers,54.7804,-127.1743,-6.82,93,75,1.54,CA,1704575110
380,koryazhma,61.3143,47.1691,-27.27,100,53,1.08,RU,1704575111
381,oelwein,42.6733,-91.9135,0.33,90,99,1.34,US,1704575111
382,zelenogorskiy,55.0333,87.0,-12.32,96,100,1.78,RU,1704575111
383,kerouane,9.2667,-9.0167,25.8,19,66,1.12,GN,1704575111
384,san borja,-14.8167,-66.85,33.21,60,100,0.64,BO,1704575112
385,ta`u,-14.2336,-169.5144,27.97,79,51,4.99,AS,1704575112
386,elliot,-31.3333,27.85,16.25,91,53,1.27,ZA,1704575112
387,bardai,11.65,7.2333,20.94,16,62,4.3,NG,1704575112
388,saint-philippe,-21.3585,55.7679,26.77,88,99,4.76,RE,1704575113
389,hilo,19.7297,-155.09,25.69,96,18,3.73,US,1704574858
390,sur,22.5667,59.5289,21.53,67,0,2.75,OM,1704575113
391,filey,54.21,-0.2892,4.88,87,91,5.43,GB,1704575114
392,przemysl,49.785,22.7673,1.69,95,100,4.78,PL,1704575114
393,egersund,58.4513,5.9997,-8.28,51,0,2.53,NO,1704575114
394,at taj,24.2049,23.2857,16.65,20,90,3.41,LY,1704575114
395,aykhal,66.0,111.5,-23.57,97,100,4.02,RU,1704575115
396,yantzaza,-3.8278,-78.7594,25.89,95,100,0.54,EC,1704575115
397,kulhudhuffushi,6.6221,73.07,27.4,76,100,1.26,MV,1704575116
398,guerrero negro,27.9769,-114.0611,19.58,27,0,2.76,MX,1704574945
399,el sauzal de rodriguez,31.9,-116.6833,19.68,24,0,3.35,MX,1704575116
400,cidreira,-30.1811,-50.2056,23.69,82,1,8.52,BR,1704575116
401,benguela,-12.5763,13.4055,25.24,74,100,2.4,AO,1704575117
402,taroa,8.7058,171.2275,26.51,70,98,7.66,MH,1704575117
403,taoudenni,22.6783,-3.9836,22.28,19,0,2.79,ML,1704575118
404,kargasok,59.0556,80.8572,-27.24,99,9,2.24,RU,1704575118
405,taltal,-25.4,-70.4833,19.13,82,49,4.43,CL,1704574820
406,kingsland,30.8,-81.6898,25.01,66,75,3.18,US,1704575118
407,mount gambier,-37.8333,140.7667,19.67,95,100,0.87,AU,1704575118
408,awjilah,29.1081,21.2869,17.63,25,0,5.3,LY,1704575119
409,kurumkan,54.3,110.3,-22.71,84,100,0.89,RU,1704575119
410,higuera de zaragoza,25.95,-109.2833,21.96,32,100,5.67,MX,1704575119
411,solleftea,63.1667,17.2667,-23.08,100,91,1.23,SE,1704575119
412,same,-4.0667,37.7333,20.97,89,78,1.88,TZ,1704575120
413,qom,34.6401,50.8764,7.54,44,0,2.84,IR,1704575120
414,su-ngai kolok,6.0298,101.9659,26.91,97,100,0.35,TH,1704575120
415,haiku-pauwela,20.9219,-156.3051,26.25,53,20,2.06,US,1704575121
416,fort st. john,56.2499,-120.8529,-21.06,84,100,5.66,CA,1704575121
417,tromso,69.6496,18.957,0.01,93,75,6.69,NO,1704575121
418,puerto colombia,10.9878,-74.9547,32.05,74,99,8.48,CO,1704575121
419,maebaru-chuo,33.55,130.2,7.62,56,22,7.89,JP,1704575122
420,bac kan,22.1333,105.8333,18.51,89,100,0.54,VN,1704575122
421,sayyan,15.1718,44.3244,10.62,50,26,1.95,YE,1704575122
422,patos,-7.0244,-37.28,33.68,30,14,5.83,BR,1704574890
423,adam,22.3756,57.5233,17.24,69,0,2.67,OM,1704575123
424,port macquarie,-31.4333,152.9167,23.27,65,96,3.01,AU,1704574895
425,katabu,-4.9333,122.5167,24.55,93,100,0.29,ID,1704575123
426,kudahuvadhoo,2.6708,72.8944,28.26,75,98,5.08,MV,1704575123
427,zambezi,-13.5432,23.1047,19.41,95,100,1.95,ZM,1704575124
428,port saint john's,-31.6229,29.5448,22.36,83,96,5.28,ZA,1704575124
429,joal-fadiout,14.1667,-16.8333,25.67,41,0,5.66,SN,1704575124
430,savelugu,9.6244,-0.8253,31.22,16,11,2.24,GH,1704575124
431,manaure,11.7751,-72.4445,30.67,53,100,8.24,CO,1704575125
432,medvezh'yegorsk,62.9167,34.4667,-25.61,98,7,1.85,RU,1704575125
433,chililabombwe,-12.3648,27.8229,17.71,97,100,1.48,ZM,1704575126
434,punta del este,-34.9667,-54.95,27.2,69,75,0.51,UY,1704574948
435,borba,-4.3878,-59.5939,23.87,94,100,1.28,BR,1704575126
436,susuman,62.7833,148.1667,-33.34,97,100,0.45,RU,1704575126
437,changyon,38.2508,125.0961,-3.39,53,25,8.09,KP,1704575126
438,nuku'alofa,-21.1333,-175.2,27.19,83,75,3.6,TO,1704575029
439,tangalle,6.024,80.7911,24.31,92,95,2.36,LK,1704575127
440,lutjenburg,54.2919,10.5895,0.9,77,100,3.58,DE,1704575127
441,banff,51.1762,-115.5698,-1.43,86,100,0.51,CA,1704575128
442,puerto ayacucho,5.6639,-67.6236,34.45,39,4,2.88,VE,1704575128
443,alesund,62.4723,6.1549,-2.92,72,0,3.09,NO,1704575128
444,hasaki,35.7333,140.8333,2.22,48,30,3.98,JP,1704575128
445,ust'-barguzin,53.45,108.9833,-20.26,85,100,1.74,RU,1704575129
446,papao,-17.75,-149.55,28.82,75,100,0.6,PF,1704575129
447,tsiombe,-25.3,45.4833,22.32,86,40,1.7,MG,1704575129
448,bang saphan,11.2126,99.5117,22.78,81,66,1.06,TH,1704575129
449,storvreta,59.9667,17.7,-16.97,84,63,0.0,SE,1704575130
450,yeniseysk,58.4497,92.1703,-7.25,91,100,4.02,RU,1704575130
451,bondo,3.8146,23.6866,22.91,35,1,1.48,CD,1704575131
452,nemuro,43.3236,145.575,0.1,79,50,2.43,JP,1704575088
453,pir jo goth,27.591,68.6179,9.0,32,0,2.54,PK,1704575131
454,sena madureira,-9.0656,-68.6569,25.88,95,99,1.04,BR,1704575131
455,boa vista,2.8197,-60.6733,33.99,38,40,6.69,BR,1704575132
456,al wakrah,24.85,51.3333,16.05,65,0,5.36,QA,1704575132
457,quiroga,19.6667,-101.5333,19.88,25,0,4.35,MX,1704575132
458,bredstedt,54.6167,8.9833,0.01,90,100,6.46,DE,1704575133
459,porto novo,6.4965,2.6036,28.9,79,4,3.4,BJ,1704574944
460,tamandare,-8.7597,-35.1047,27.35,72,1,4.22,BR,1704575134
461,amahai,-3.3333,128.9167,25.44,85,85,1.86,ID,1704575134
462,calama,-22.4667,-68.9333,27.27,10,0,12.35,CL,1704574980
463,hohhot,40.8106,111.6522,-22.84,77,0,2.0,CN,1704575135
464,saint-pierre,-21.3393,55.4781,26.82,83,50,7.2,RE,1704575135
465,xianshuigu,38.985,117.3828,-7.0,49,0,3.0,CN,1704575135
466,port augusta,-32.5,137.7667,24.09,66,32,2.46,AU,1704575136
467,macea,46.3833,21.3,10.61,83,100,2.63,RO,1704575137
468,vernon,50.2581,-119.2691,3.67,93,100,1.03,CA,1704575137
469,shizuishan,39.2333,106.7694,-7.35,35,0,1.13,CN,1704575138
470,detroit lakes,46.8172,-95.8453,-5.62,96,100,5.66,US,1704574952
471,betulia,6.1128,-75.9838,28.16,42,60,0.82,CO,1704575139
472,rikaze,29.25,88.8833,-3.87,22,0,0.84,CN,1704575139
473,villa ojo de agua,-29.5,-63.6938,37.8,24,12,7.6,AR,1704575139
474,chibougamau,49.9168,-74.3659,-18.21,85,75,3.6,CA,1704575139
475,zhanaozen,43.3,52.8,1.99,91,10,4.98,KZ,1704575139
476,khandyga,62.6667,135.6,-46.12,100,100,0.23,RU,1704575140
477,lagoa,39.05,-27.9833,16.74,80,100,9.29,PT,1704574997
478,ilha de mocambique,-15.0342,40.7358,27.46,81,99,4.73,MZ,1704575140
479,marsh harbour,26.5412,-77.0636,24.65,81,77,9.95,BS,1704575140
480,tukrah,32.5341,20.5791,17.15,69,0,7.46,LY,1704575140
481,bain-de-bretagne,47.8442,-1.6849,2.61,89,38,3.31,FR,1704575141
482,portland,45.5234,-122.6762,8.65,86,75,4.12,US,1704574707
483,goure,13.9835,10.2704,19.73,17,67,3.64,NE,1704575141
484,sao vicente,-23.9631,-46.3919,28.1,54,75,4.12,BR,1704575141
485,ewo,-0.8725,14.8206,24.64,81,100,0.51,CG,1704575142
486,vila do maio,15.1333,-23.2167,23.44,74,0,4.73,CV,1704575142
487,tchintabaraden,15.8969,5.7985,22.86,13,92,4.02,NE,1704575142
488,hachinohe,40.5,141.5,0.57,77,64,5.54,JP,1704575142
489,brookings,44.3114,-96.7984,-3.0,87,100,7.2,US,1704575008
490,krasnokamensk,50.0979,118.0369,-32.45,91,4,1.63,RU,1704575142
491,tsarevo,42.1667,27.85,13.85,66,81,6.11,BG,1704575142
492,vodnyy,63.5046,53.4095,-32.55,100,100,1.13,RU,1704575143
493,selfoss,63.9331,-20.9971,-2.75,86,98,4.21,IS,1704575143
494,levuka,50.1834,-105.4011,-5.16,77,98,3.78,CA,1704575143
495,colesberg,-30.72,25.0972,24.66,18,0,4.78,ZA,1704575143
496,tutoia,-2.7619,-42.2744,27.29,84,76,4.57,BR,1704575143
497,kiunga,-6.1219,141.2906,23.36,100,100,1.6,PG,1704575144
498,east ballina,-28.8667,153.5833,19.89,69,99,4.23,AU,1704575144
499,upata,8.0086,-62.3989,30.68,40,75,3.71,VE,1704575144
500,ubari,26.5921,12.7805,14.67,27,0,3.41,LY,1704575144
501,salinopolis,-0.6136,-47.3561,26.06,84,100,3.81,BR,1704574973
502,conduaga,8.862,117.4893,25.8,86,31,3.02,PH,1704575145
